symbol,expiration,strike,right,created,last_trade,open,high,low,close,volume,count,bid_size,bid_exchange,bid,bid_condition,ask_size,ask_exchange,ask,ask_condition
SPY,2023-01-20,580.0,PUT,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,252,6,126.48,50,237,4,130.22,50
SPY,2023-01-20,580.0,PUT,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,252,6,126.48,50,237,4,130.22,50
SPY,2022-02-07,325.0,CALL,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,55,1,129.02,50,93,1,129.24,50
SPY,2022-02-07,325.0,CALL,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,55,1,129.02,50,93,1,129.24,50
SPY,2023-12-15,505.0,CALL,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,10,9,24.5,50,10,9,28.0,50
SPY,2023-12-15,505.0,CALL,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,10,9,24.5,50,10,9,28.0,50
SPY,2022-03-11,464.0,CALL,2022-02-02T17:24:02.075,2022-02-02T15:13:22.393,5.39,6.41,5.39,6.3,62,6,25,7,5.34,50,25,7,5.41,50
SPY,2022-03-11,464.0,CALL,2022-02-02T17:39:16.985,2022-02-02T15:13:22.393,5.39,6.41,5.39,6.3,62,6,25,7,5.34,50,25,7,5.41,50
SPY,2022-03-09,432.0,PUT,2022-02-02T17:24:02.075,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,36,42,4.54,50,40,7,4.65,50
SPY,2022-03-09,432.0,PUT,2022-02-02T17:39:16.985,2022-02-02T00:00:00,0.0,0.0,0.0,0.0,0,0,36,42,4.54,50,40,7,4.65,50
SPY,2022-02-14,465.0,PUT,2022-02-02T17:24:02.075,2022-02-02T15:43:11.502,11.42,11.42,9.55,9.55,29,7,50,1,12.14,50,50,1,12.37,50
SPY,2022-02-14,465.0,PUT,2022-02-02T17:39:16.985,2022-02-02T15:43:11.502,11.42,11.42,9.55,9.55,29,7,50,1,12.14,50,50,1,12.37,50
