expiration,strike,right
2022-04-14,491.0,call
2022-04-14,365.0,put
2022-02-09,475.0,call
2022-02-09,480.0,call
2022-03-18,490.0,call
2022-03-18,495.0,call
2022-03-18,375.0,put
2022-03-18,380.0,put
2022-02-02,442.0,put
2022-02-02,443.0,put
2022-02-25,355.0,put
2022-02-02,447.0,put
2022-09-16,444.0,put
2022-09-16,445.0,put
2022-04-14,444.0,put
2022-04-14,445.0,put
2022-04-14,426.0,put
2022-04-14,428.0,put
2022-02-04,432.0,put
2022-02-04,437.0,put
2022-04-14,442.0,call
2022-04-14,446.0,call
2022-04-14,442.0,put
2022-04-14,446.0,put
2022-02-18,440.0,call
2022-02-18,445.0,call
2022-12-16,500.0,call
2022-12-16,505.0,call
2022-12-16,435.0,put
2022-12-16,440.0,put
2022-02-11,420.0,call
2022-02-11,425.0,call
2022-03-18,225.0,put
2023-01-20,525.0,call
2022-02-04,439.0,call
2022-02-04,440.0,call
2022-03-18,452.0,call
2022-04-14,460.0,call
2022-06-17,440.0,put
2022-09-16,240.0,put
2022-05-20,444.0,call
2022-02-02,395.0,put
2022-02-09,395.0,put
2022-02-02,450.0,put
2022-02-25,462.0,call
2022-02-16,442.0,put
2022-02-07,457.0,call
2022-06-30,440.0,put
2022-07-15,250.0,put
2022-02-02,458.0,call
2022-02-02,460.0,call
2022-06-30,550.0,call
2022-02-11,417.0,put
2022-06-30,395.0,put
2022-02-18,430.0,put
2022-02-04,454.0,call
2022-02-04,456.0,call
2022-02-04,457.0,call
2022-02-02,448.0,put
2023-01-20,545.0,call
2022-02-04,445.0,put
2022-02-28,402.0,put
2022-02-22,370.0,put
2022-02-02,452.0,put
2022-02-04,456.0,put
2022-02-04,428.0,put
2022-02-09,445.0,put
2022-02-18,401.0,put
2022-02-07,398.0,put
2022-02-28,305.0,put
2022-02-14,420.0,put
2022-02-18,423.0,put
2022-02-02,440.0,put
2022-02-02,445.0,put
2022-02-02,446.0,put
2022-02-02,454.0,put
2022-02-04,425.0,put
2022-02-07,410.0,put
2022-02-02,444.0,put
2022-02-04,442.0,put
2022-02-02,455.0,put
2022-02-07,395.0,put
2022-02-18,398.0,put
2022-02-02,439.0,put
2022-02-04,447.0,put
2022-02-04,451.0,put
2022-02-11,430.0,put
2022-02-04,459.0,call
2022-02-04,500.0,call
2022-02-04,455.0,call
2022-03-09,425.0,put
2022-02-11,392.0,put
2022-02-04,464.0,call
2022-02-09,452.0,put
2022-02-04,458.0,call
2022-02-09,445.0,call
2022-02-18,452.0,put
2022-06-17,550.0,call
2022-02-18,500.0,call
2022-02-07,463.0,call
2022-02-07,460.0,call
2022-02-04,444.0,put
2022-02-04,450.0,put
2022-02-09,460.0,call
2022-02-18,459.0,call
2022-03-18,420.0,put
2022-06-17,125.0,put
2022-02-02,455.0,call
2022-02-02,456.0,call
2022-02-04,462.0,call
2022-02-04,463.0,call
2022-02-04,465.0,call
2022-02-04,460.0,call
2022-04-14,400.0,put
2022-02-07,446.0,put
2022-03-07,475.0,call
2022-02-11,450.0,put
2022-02-09,464.0,call
2022-02-07,465.0,call
2022-02-11,443.0,put
2022-03-18,410.0,put
2022-02-18,454.0,put
2022-12-16,320.0,put
2022-02-02,465.0,call
2022-02-04,477.0,call
2022-02-04,452.0,put
2022-02-07,464.0,call
2022-02-09,450.0,put
2022-02-11,453.0,put
2022-02-11,454.0,put
2022-02-18,461.0,call
2022-02-18,450.0,put
