symbol,expiration,strike,right,timestamp,open,high,low,close,volume,count,vwap,bid,ask,delta,theta,vega,rho,epsilon,lambda,gamma,vanna,charm,vomma,veta,vera,speed,zomma,color,ultima,d1,d2,dual_delta,dual_gamma,implied_vol,iv_error,underlying_timestamp,underlying_price,bid_implied_vol,midpoint,bar_iv,ask_implied_vol,last_day_OI,timestamp_oi,effective_date_oi,file_date,file_path,total_rows
QQQ,2026-06-18,675.0,call,2025-12-08 05:30:00,0.0,0.0,0.0,0.0,0,0,21.52,20.44,20.54,0.369,-0.1087,170.5545,109.9656,-120.6873,11.2563,0.0043,0.9279,-0.2777,140.3137,60.1579,0.0,0.0,0.0,-8.2378,-100.0,-0.3344,-0.4737,-0.3113,0.0,0.1926,0.0,2025-12-08 05:30:00,624.99,0.1923,20.49,0.1926,0.1929,686.0,2025-12-08 01:30:01,2025-12-07,2025-12-08,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-08T00-00-00Z-QQQ-option-5m_part01.csv,53137
QQQ,2025-12-31,637.0,put,2025-12-08 06:35:00,0.0,0.0,0.0,0.0,0,0,16.2,17.73,18.49,-0.6552,-0.1766,57.6591,-26.8867,25.7455,-22.5598,0.0132,0.9201,-1.6239,57.5304,3.4235,0.0,0.0,0.0,-0.3209,-100.0,-0.3994,-0.444,0.6698,0.0,0.1777,0.0,2025-12-08 06:35:00,623.57,0.1711,18.11,0.1777,0.1843,73.0,2025-12-08 01:30:02,2025-12-07,2025-12-08,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-08T00-00-00Z-QQQ-option-5m_part02.csv,52473
QQQ,2025-12-12,581.0,call,2025-12-08 07:40:00,0.0,0.0,0.0,0.0,0,0,47.44,42.42,42.78,0.9697,-0.2559,4.5451,6.3683,-6.8514,14.1832,0.0029,-0.3544,5.4845,44.1482,0.0137,0.0,0.0,0.0,-0.0088,56.1792,1.8771,1.8393,-0.9666,0.0,0.3554,0.0,2025-12-08 07:40:00,623.06,0.3027,42.6,0.3554,0.3894,16.0,2025-12-08 01:30:01,2025-12-07,2025-12-08,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-08T00-00-00Z-QQQ-option-5m_part03.csv,52450
QQQ,2026-06-18,560.0,put,2025-12-08 08:40:00,0.0,0.0,0.0,0.0,0,0,16.15,16.36,16.59,-0.2207,-0.075,133.7757,-80.6224,72.0038,-8.3544,0.0025,-0.6572,0.1026,228.1257,39.4012,0.0,0.0,0.0,-7.4038,-100.0,0.7697,0.5802,0.2751,0.0001,0.2619,0.0,2025-12-08 08:40:00,623.38,0.261,16.47,0.2619,0.2628,12025.0,2025-12-08 01:30:00,2025-12-07,2025-12-08,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-08T00-00-00Z-QQQ-option-5m_part04.csv,52569
QQQ,2026-01-09,580.0,call,2025-12-08 09:45:00,0.0,0.0,0.0,0.0,0,0,47.34,47.31,47.78,0.869,-0.1949,39.1992,43.2718,-47.4397,11.3822,0.0049,-0.9693,1.1546,200.4848,1.5233,0.0,0.0,0.0,-0.3586,-100.0,1.1218,1.0534,-0.8509,0.0,0.231,0.0,2025-12-08 09:45:00,622.65,0.225,47.54,0.231,0.2371,17.0,2025-12-08 01:30:01,2025-12-07,2025-12-08,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-08T00-00-00Z-QQQ-option-5m_part05.csv,52582
QQQ,2025-12-16,619.0,call,2025-12-08 10:50:00,0.0,0.0,0.0,0.0,0,0,9.33,8.5,11.56,0.5913,-0.5124,35.8075,7.8498,-8.0696,36.7094,0.0199,-0.3662,1.2788,7.7958,0.182,0.0,0.0,0.0,-0.0831,-100.0,0.2309,0.1995,-0.5785,0.0,0.2116,0.0,2025-12-08 10:50:00,622.65,0.1687,10.03,0.2116,0.2542,12.0,2025-12-08 01:30:01,2025-12-07,2025-12-08,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-08T00-00-00Z-QQQ-option-5m_part06.csv,52623
QQQ,2028-01-21,950.0,put,2025-12-08 11:00:00,0.0,0.0,0.0,0.0,0,0,327.26,323.5,328.5,-0.6056,-0.016,349.8209,-1492.9902,801.6921,-1.1596,0.001,0.813,-0.1038,198.1206,469.8996,0.0,0.0,-0.0001,-102.5562,-100.0,-0.268,-0.8627,0.7411,0.0001,0.4083,0.0,2025-12-08 11:00:00,624.19,0.4012,326.0,0.4083,0.4155,0.0,2025-12-08 01:30:01,2025-12-07,2025-12-08,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-08T00-00-00Z-QQQ-option-5m_part07.csv,11463
QQQ,2026-01-30,600.0,put,2025-12-09 05:40:00,0.0,0.0,0.0,0.0,0,0,9.76,9.52,9.57,-0.2821,-0.1492,79.5692,-26.4414,25.0822,-18.4532,0.0064,-0.7526,0.4254,102.1469,4.2032,0.0,0.0,0.0,-1.2173,-100.0,0.5763,0.4928,0.3093,0.0,0.2212,0.0,2025-12-09 05:40:00,623.89,0.2209,9.54,0.2212,0.2216,1733.0,2025-12-09 01:30:01,2025-12-08,2025-12-09,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-09T00-00-00Z-QQQ-option-5m_part01.csv,53211
QQQ,2025-12-16,560.0,put,2025-12-09 06:55:00,0.0,0.0,0.0,0.0,0,0,0.1,0.08,0.09,-0.0081,-0.0456,1.9203,-0.0987,0.0972,-63.7345,0.0007,-0.1551,1.3442,32.3036,0.0481,0.0,0.0,0.0,-0.0055,100.0,2.404,2.3574,0.0091,0.0,0.3369,-0.0058,2025-12-09 06:55:00,625.32,0.3369,0.08,0.3369,0.3417,593.0,2025-12-09 01:30:01,2025-12-08,2025-12-09,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-09T00-00-00Z-QQQ-option-5m_part02.csv,52692
QQQ,2026-03-20,630.0,put,2025-12-09 08:05:00,26.0,26.0,26.0,26.0,2,1,26.86,25.96,26.02,-0.4648,-0.1012,130.1172,-86.7873,79.6666,-11.188,0.0058,0.0395,-0.1583,-1.142,16.6569,0.0,0.0,0.0,-3.7915,-19.1768,0.0882,-0.0207,0.5028,0.0,0.2081,0.0,2025-12-09 08:05:00,625.55,0.2079,25.99,0.2081,0.2083,7684.0,2025-12-09 01:30:00,2025-12-08,2025-12-09,C:\Users\Federico\Downloads\data\option\QQQ\5m\csv\2025-12-09T00-00-00Z-QQQ-option-5m_part03.csv,52724
